University Name,Rank in Berlin-Brandenburg,Rank in Germany,Enrollment,Founded,latitude,longitude,postcode,Stadtteil,AGS_Code,Orsteil
1. Free University of Berlin,1,5,"37,908",1948,52.4543245,13.2934768,14195,Steglitz-Zehlendorf,6,Dahlem
2. Humboldt University of Berlin,2,8,"36,232",1809,52.517883,13.3936551,10117,Mitte,1,Mitte
3. Technical University of Berlin,3,19,"34,842",1946,52.5125322,13.3269446,10623,Charlottenburg-Wilmersdorf,4,Charlottenburg
4. Charite - Medical University of Berlin,4,21,"9,340",1710,52.4693828,13.3114265,14197,Charlottenburg-Wilmersdorf,4,Wilmersdorf
5. Berlin University of Applied Sciences,7,84,"14,167",1994,52.5157958,13.3281415,10587,Charlottenburg-Wilmersdorf,4,Charlottenburg
6. Berlin School of Economics and Law,9,92,"12,246",1971,52.4854057,13.3377447,10825,Tempelhof-Schöneberg,7,Schöneberg
7. Berlin Technical University of Applied Sciences,10,95,"12,833",1971,52.5125322,13.3269446,10623,Charlottenburg-Wilmersdorf,4,Charlottenburg
8. Berlin University of the Arts,11,98,"4,201",1975,52.5092431,13.3269634,10623,Charlottenburg-Wilmersdorf,4,Charlottenburg
9. Hertie School of Governance,12,100,586,2003,52.5127908,13.3892236,10117,Mitte,1,Mitte
10. Steinbeis University,15,135,"6,344",1998,52.4299869,13.5298803,12489,Treptow-Köpenick,9,Adlershof
11. ESMT Berlin,16,153,233,2002,52.51564949999999,13.4011509,10178,Mitte,1,Mitte
12. Bard College Berlin,17,171,100,1999,52.5843043,13.3937208,13156,Pankow,3,Niederschönhausen
13. SRH University of Applied Sciences Berlin,18,180,518,2002,52.4745524,13.4574865,12059,Neukölln,8,Neukölln
14. University of Performing Arts Ernst Busch,19,190,217,1905,52.5323904,13.3832183,10115,Mitte,1,Mitte
15. International Psychoanalytic University,20,194,395,2009,52.5235779,13.3425475,10555,Mitte,1,Moabit
16. Psychological Institute in Berlin,21,201,708,2010,52.52000659999999,13.404954,unknown,Mitte,1,Mitte
"17. Alice Salomon University of Applied Sciences, Berlin",24,215,"4,353",1971,52.5375673,13.6063203,12627,Marzahn-Hellersdorf,10,Hellersdorf
18. Berlin-Weissensee Art Academy,25,222,843,1946,52.55803390000001,13.4393842,13086,Pankow,3,Weißensee
19. Hanns Eisler Academy of Music,26,240,532,1950,52.5165837,13.4033709,10178,Mitte,1,Mitte
20. German University for Professional Studies,28,276,212,2008,52.5001662,13.2925319,10711,Charlottenburg-Wilmersdorf,4,Halensee
21. Mediadesign University of Applied Social Sciences,29,303,"1,304",2004,52.4884585,13.5333438,10318,Lichtenberg,11,Karlshorst
22. Quadriga University of Applied Social Sciences Berlin,30,304,133,2009,52.5151463,13.3973653,10117,Mitte,1,Mitte
"23. University of Applied Sciences for Media, Communication and Management",32,312,334,2008,52.52000659999999,13.404954,unknown,Mitte,1,Mitte
24. Catholic University of Applied Social Sciences Berlin,33,313,"1,347",1991,52.4884585,13.5333438,10318,Lichtenberg,11,Karlshorst
"25. University of Applied Sciences, Berlin",34,315,368,2006,52.5446529,13.3528085,13353,Mitte,1,Wedding
26. Protestant University of Applied Sciences in Berlin,35,316,"1,655",1971,52.4232678,13.261658,14167,Steglitz-Zehlendorf,6,Zehlendorf
27. H:G College of Health and Sports,36,329,888,2007,52.52000659999999,13.404954,unknown,Mitte,1,Mitte
28. MSB Medical School Berlin,37,330,"1,650",2012,52.4693828,13.3114265,14197,Charlottenburg-Wilmersdorf,4,Wilmersdorf
29. BSP Business School Berlin,38,332,346,2009,52.438743,13.328609,12247,Steglitz-Zehlendorf,6,Lankwitz
30. bbw University of Applied Sciences,39,338,"1,045",2007,52.4357804,13.537809,12489,Treptow-Köpenick,9,Adlershof
31. ESMOD International University of Art for Fashion,40,341,155,2011,52.497665,13.44015,10997,Friedrichshain-Kreuzberg,2,Kreuzberg
"32. VICTORIA, International University of Applied Sciences",41,343,106,2011,52.505199,13.3780538,10963,Friedrichshain-Kreuzberg,2,Kreuzberg
33. DEKRA University of Applied Sciences,42,345,332,1997,52.5157958,13.3281415,10587,Charlottenburg-Wilmersdorf,4,Charlottenburg
34. Akkon College of Human Sciences,43,346,400,2009,52.52000659999999,13.404954,unknown,Mitte,1,Mitte
35. IB University of Applied Social Sciences Berlin,44,349,518,2007,52.5064071,13.3650782,10785,Mitte,1,Tiergarten
36. Touro College Berlin,45,359,119,2003,52.505167,13.2135086,14055,Charlottenburg-Wilmersdorf,4,Westend
