agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,s-bahn_berlin_gmbh,http://www.s-bahn-berlin.de,europe/berlin,de,nan
32,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,europe/berlin,de,nan
47,verkehrsbetriebe_brandenburg_an_der_havel_gmbh,http://www.vbbr.de,europe/berlin,de,nan
84,stadtverkehrsgesellschaft_mbh_frankfurt_(oder),http://www.svf-ffo.de,europe/berlin,de,nan
92,havelbus_verkehrsgesellschaft_mbh,http://www.havelbus.de,europe/berlin,de,nan
93,uckermärkische_verkehrsgesellschaft_mbh,http://www.wirbewegensie.de,europe/berlin,de,nan
108,db_regio_ag,http://www.bahn.de/brandenburg,europe/berlin,de,nan
138,günter_anger_güterverkehrs_gmbh_&_co._omnibusvermietung_kg,http://www.anger-busvermietung.de,europe/berlin,de,nan
150,verkehrsbetrieb_potsdam_gmbh,http://www.vip-potsdam.de,europe/berlin,de,nan
241,barnimer_busgesellschaft_mbh,http://www.bbg-eberswalde.de,europe/berlin,de,nan
246,verkehrsgesellschaft_teltow-fläming_mbh,http://www.vtf-online.de,europe/berlin,de,nan
251,regionale_verkehrsgesellschaft_dahme-spreewald_mbh,http://www.rvs-lds.de,europe/berlin,de,nan
341,verkehrsmanagement_elbe-elster_gmbh,http://www.verkehrsmanagement-elbeelster.de,europe/berlin,de,nan
346,verkehrsgesellschaft_oberspreewald-lausitz_mbh,http://www.vgosl.de,europe/berlin,de,nan
476,fritz_behrendt_ohg,http://www.behrendt-touristik.de,europe/berlin,de,nan
480,glaser,http://www.busreisen-glaser.de,europe/berlin,de,nan
486,schöneicher_rüdersdorfer_straßenbahn_gmbh,http://www.srs-tram.de,europe/berlin,de,nan
487,strausberger_eisenbahn_gmbh,http://www.strausberger-eisenbahn.de,europe/berlin,de,nan
516,cottbusverkehr_gmbh,http://www.cottbusverkehr.de,europe/berlin,de,nan
566,busverkehr_oder-spree_gmbh,http://www.bos-fw.de,europe/berlin,de,nan
596,neb_betriebsgesellschaft_mbh,http://www.neb.de,europe/berlin,de,nan
606,a._reich_gmbh_busbetrieb,http://www.a-reich.com,europe/berlin,de,nan
706,sabinchen_touristik_gmbh,http://www.vbb.de/de/article/verkehrsunternehmen-im-vbb/sabinchen-touristik-gmbh/6613.html,europe/berlin,de,nan
721,busverkehr_gerd_schmidt,http://www.fahrschuleschmidt.de,europe/berlin,de,nan
726,orp_ostprignitz-ruppiner_personennahverkehrsgesellschaft_mbh,http://www.orp-busse.de,europe/berlin,de,nan
731,odeg_ostdeutsche_eisenbahn_gmbh,http://www.odeg.de,europe/berlin,de,nan
751,hanseatische_eisenbahn,http://www.hanseatische-eisenbahn.de,europe/berlin,de,nan
772,db_regio_bus_ost_gmbh,https://www.dbregiobus-ost.de,europe/berlin,de,nan
781,lange,http://www.lange-tours.de,europe/berlin,de,nan
796,berliner_verkehrsbetriebe,http://www.bvg.de,europe/berlin,de,nan
816,prignitzbus,http://www.prignitz-bus.de,europe/berlin,de,nan
841,mobus_märkisch-oderland_bus_gmbh,http://www.mo-bus.de,europe/berlin,de,+493341-4494900
846,regiobus_potsdam_mittelmark_gmbh,http://www.regiobus-pm.de,europe/berlin,de,nan
856,mitteldeutsche_regiobahn,https://www.mitteldeutsche-regiobahn.de/,europe/berlin,nan,nan
